label,labelshort,from,to,fromh,toh,median
Intel Extreme Masters,Intel,0,600,50,300,100
OFF Festival,OFF,0,900,200,500,300
Tauron Nowa Muzyka,Tauron NM,0,800,100,400,200
other events,other,0,125,0,50,28
