label,labelshort,from,to,fromh,toh,median
Intel Extreme Masters,Intel,11,32,17,23,20
OFF Festival,OFF,12,48,23,33,27
Tauron Nowa Muzyka,Tauron NM,12,44,24,32,28
other events,other,12,78,23,45,30
