label,bary,restauracje,kultura,nocleg,sport,spacer,zakupy,nic,inne,total
czasem robię sobie małe święto,79,93,33,26,8,103,30,107,21,361
jestem fanem tego twórcy lub wydarzenia,104,111,47,70,13,115,54,98,24,375
uczestniczę kilka razy w tygodniu,149,102,113,54,10,143,39,100,31,417
znalazłem się tutaj przypadkowo,31,17,7,8,2,23,7,51,12,128
skrupulatnie wybieram wydarzenia,309,328,214,114,23,347,104,287,79,1069
sporadycznie chodzę na wydarzenia,139,154,66,47,15,189,58,174,54,614
jestem koneserem sztuki,88,77,43,29,11,93,30,90,19,317
