label,bary,restauracje,kultura,nocleg,sport,spacer,zakupy,nic,inne,total
komunikacja,254,201,113,40,10,228,72,170,54,755
pieszo,195,143,116,47,16,186,41,115,64,552
"pociąg, autokar",34,33,15,3,0,29,2,16,13,92
rower,15,18,11,5,5,8,5,6,4,44
samochód,363,398,209,114,35,404,133,530,107,1633
"taksówka, Uber",12,17,7,11,0,14,5,8,6,41
inaczej,176,215,119,136,16,231,65,73,30,513
