label,labelshort,from,to,fromh,toh,median
<10k,<10k,0,200,13,100,50
10–50k,10–50k,0,200,15,100,50
50–100k,50–100k,0,200,3,100,30
100–200k,100–200k,0,220,8,100,40
>200k,>200k,0,200,5.5,100,27.5
