label,labelshort,from,to,fromh,toh,median
<10k,<10k,0,600,50,300,100
10–50k,10–50k,0,600,50,300,120
50–100k,50–100k,0,450,20,200,70
100–200k,100–200k,0,500,50,250,100
>200k,>200k,0,1000,100,500,265
