label,labelshort,from,to,fromh,toh,median
casual,casual,11,47,18,30,24
dinner&show,dinner&show,12,73,23,43,31
occasional,occasional,13,57,22,36,26
fan,fan,12,48,18,30,22
aficionado,aficionado,15,81,23.75,47,31
selector,selector,12,60,23,38,29
heavy user,heavy user,14,58,23,37,28
