label,labelshort,from,to,fromh,toh,median
przypadkowy,przypadkowy,0,250,0,100,12
dinner&show,dinner&show,0,350,10,150,50
sporadyczny,sporadyczny,0,250,0,100,50
fan,fan,0,600,45,300,100
koneser,koneser,0,340,20,150,50
selekcjoner,selekcjoner,0,450,20,200,50
heavy user,heavy user,0,500,20,250,100
