label,labelshort,z partnerem,ze znajomymi,z dzieckiem,z gościem,sam(a),total
przypadkowy,przypadkowy,45,59,4,6,10,128
dinner&show,dinner&show,147,148,29,12,36,361
sporadyczny,sporadyczny,223,352,40,25,19,614
fan,fan,102,242,12,11,34,375
koneser,koneser,137,137,18,14,34,317
selekcjoner,selekcjoner,408,551,44,24,142,1069
heavy user,heavy user,121,227,16,11,67,417
