label,labelshort,from,to,fromh,toh,median
przypadkowy,przypadkowy,11,47,18,30,24
dinner&show,dinner&show,12,73,23,43,31
sporadyczny,sporadyczny,13,57,22,36,26
fan,fan,12,48,18,30,22
koneser,koneser,15,81,23.75,47,31
selekcjoner,selekcjoner,12,60,23,38,29
heavy user,heavy user,14,58,23,37,28
