label,labelshort,bars,restaurants,culture,hotel,sport,walk,shopping,none,other,total
Silesian Musuem,Silesian Museum,80,100,80,17,13,145,47,69,51,382
NOSPR Orchestra,NOSPR,33,29,8,0,3,28,7,105,11,203
outside the Zone,outside,595,539,316,129,24,535,141,506,166,1695
