label,labelshort,venue proximity,other,regular visitor,free admission,personal recommendation,persuasion by friends,interest in the topic,total
Silesian Musuem,Silesian Museum,23,18,33,40,48,130,90,382
NOSPR Orchestra,NOSPR,6,19,59,3,16,49,49,201
outside the Zone,outside,46,90,471,65,197,480,646,1995
