label,labelshort,bary,restauracje,instytucje,nocleg,sport,zwiedzanie,zakupy,nic,inne,total
Muzeum Śląskie,Muzeum Śl.,80,100,80,17,13,145,47,69,51,382
NOSPR,NOSPR,33,29,8,0,3,28,7,105,11,203
poza Strefą,poza Strefą,595,539,316,129,24,535,141,506,166,1695
