label,labelshort,było blisko,inne,stały bywalec,darmowy wstęp,z polecenia,znajomi,temat,total
Muzeum Śląskie,Muzeum Śl.,23,18,33,40,48,130,90,382
NOSPR,NOSPR,6,19,59,3,16,49,49,201
poza Strefą,poza Strefą,46,90,471,65,197,480,646,1995
