x_lng;y_lat;address_city
19,0026309694851;50,1230913144715;Tychy
18,6688717540702;50,1344207682153;Czerwionka-Leszczyny
19,0026309694851;50,1230913144715;Tychy
19,0231419445648;50,2180177773216;Katowice
19,1928650901096;50,2761733196105;Sosnowiec
19,0266695784202;50,3133651976938;Siemianowice Śląskie
19,0266695784202;50,3133651976938;Siemianowice Śląskie
19,0231419445648;50,2180177773216;Katowice
19,1928650901096;50,2761733196105;Sosnowiec
18,6535902111208;50,2992298483209;Gliwice
19,0231419445648;50,2180177773216;Katowice
18,9667848231699;49,8985725906265;Czechowice-Dziedzice
19,0231419445648;50,2180177773216;Katowice
18,9667848231699;49,8985725906265;Czechowice-Dziedzice
19,0231419445648;50,2180177773216;Katowice
19,1928650901096;50,2761733196105;Sosnowiec
19,1928650901096;50,2761733196105;Sosnowiec
18,8690962644103;50,2662977052739;Ruda Śląska
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
18,9667848231699;49,8985725906265;Czechowice-Dziedzice
19,0231419445648;50,2180177773216;Katowice
19,9850685845497;50,0531639881863;Kraków
18,8690962644103;50,2662977052739;Ruda Śląska
18,8775866248103;50,3636055002708;Bytom
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
18,9108281781964;50,2985302560424;Świętochłowice
19,0026309694851;50,1230913144715;Tychy
19,0231419445648;50,2180177773216;Katowice
16,9960733096481;51,1276919305602;Wrocław
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,13090079554;50,079878822632;Bieruń
18,9610619017973;50,2948078640135;Chorzów
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,9850685845497;50,0531639881863;Kraków
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
18,6643523767619;50,2054370409287;Knurów
18,6535902111208;50,2992298483209;Gliwice
19,0026309694851;50,1230913144715;Tychy
19,0026309694851;50,1230913144715;Tychy
18,8775866248103;50,3636055002708;Bytom
19,0026309694851;50,1230913144715;Tychy
18,9152747229074;49,9889984711336;Pszczyna
19,201084443685;50,1430406174002;Imielin
18,6138463303787;49,9550723900481;Jastrzębie-Zdrój
19,1462383365197;50,1980362558066;Mysłowice
19,1462383365197;50,1980362558066;Mysłowice
18,4276923481975;50,066652420084;Rydułtowy
19,0231419445648;50,2180177773216;Katowice
19,0266695784202;50,3133651976938;Siemianowice Śląskie
19,2996151520544;50,3543025009359;Dąbrowa Górnicza
19,0231419445648;50,2180177773216;Katowice
19,2911600619316;50,2043301743107;Jaworzno
18,8775866248103;50,3636055002708;Bytom
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0266695784202;50,3133651976938;Siemianowice Śląskie
18,9610619017973;50,2948078640135;Chorzów
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
18,8775866248103;50,3636055002708;Bytom
19,0231419445648;50,2180177773216;Katowice
19,1208955614657;50,338528244033;Będzin
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
18,8355521211854;50,463450958235;Tarnowskie Góry
19,0231419445648;50,2180177773216;Katowice
18,9108281781964;50,2985302560424;Świętochłowice
19,0266695784202;50,3133651976938;Siemianowice Śląskie
19,0231419445648;50,2180177773216;Katowice
19,0266695784202;50,3133651976938;Siemianowice Śląskie
19,9850685845497;50,0531639881863;Kraków
18,9610619017973;50,2948078640135;Chorzów
19,0026309694851;50,1230913144715;Tychy
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0231419445648;50,2180177773216;Katowice
19,0772039021607;50,3144575506562;Czeladź
19,0026309694851;50,1230913144715;Tychy
19,2996151520544;50,3543025009359;Dąbrowa Górnicza
19,3897911186152;50,4180004342123;Łazy
