label,percent,n,total
"odwiedzam kluby, bary, kawiarnie",29.4,1051,3575
idę do restauracji lub jadłodajni,28.7,1026,3575
odwiedzam inne instytucje kultury,16.5,590,3575
korzystam z oferty noclegowej,9.96,356,3575
uprawiam sport / rekreację,2.29,82,3575
"spaceruję, zwiedzam miasto",30.8,1101,3575
"idę na zakupy, szukam pamiątek",09.06,324,3575
żadne z powyższych,25.68,918,3575
inne,7.78,278,3575
