label,n,percent,total
interest in the topic,1159,32.02,3620
persuasion by friends,863,23.84,3620
regular visitor,790,21.82,3620
personal recommendation,329,9.09,3620
free admission,162,4.48,3620
venue proximity,109,3.01,3620
other,208,5.75,3620
