label,bars,restaurants,culture,hotel,sport,walk,shopping,none,other,total
i sometimes treat myself to some culture,79,93,33,26,8,103,30,107,21,361
i am the artist’s/event’s fan,104,111,47,70,13,115,54,98,24,375
i attend events several times a week,149,102,113,54,10,143,39,100,31,417
i'm here by accident,31,17,7,8,2,23,7,51,12,128
i choose my events carefully,309,328,214,114,23,347,104,287,79,1069
i am only an occasional event goer,139,154,66,47,15,189,58,174,54,614
i'm an art aficionado,88,77,43,29,11,93,30,90,19,317
