label,labelshort,recommendation,can't remember,cultural guide,website,social media,already known,"press, radio, tv","leaflet, poster",other source,total
0–15,0–15,22,8,1,1,22,3,NA,1,5,63
16–25,16–25,427,133,15,76,570,23,45,47,55,1391
26–35,26–35,347,163,12,74,314,29,39,22,48,1048
36–45,36–45,104,65,7,45,106,16,29,12,23,407
46–55,46–55,68,42,10,33,47,7,13,4,14,238
56–65,56–65,45,23,4,33,19,4,14,8,22,172
66–,66–,27,9,11,15,6,3,15,4,22,112
